func_name;id_try;id;size;exceptions
insert_data;267;277;1;1
_harmonize_columns;268;278;1;1
_harmonize_columns;269;279;1;1
_sqlalchemy_type;270;280;1;0
_get_unicode_name;271;281;1;1
run_transaction;272;282;2;0
execute;273;283;5;1
execute;274;284;2;1
_importers;275;285;1;1
_importers;276;286;1;1
_importers;277;287;1;1
_read;278;288;1;2
_parse_raw_tbody;279;289;1;1
_build_doc;280;290;8;2
_build_doc;281;291;1;1
_build_doc;282;292;1;1
_parse;283;293;1;1
_parse;284;294;0;1
read_sas;285;295;1;0
_parse_date;286;296;1;1
__init__;287;297;1;0
_read_header;288;298;1;1
close;289;299;1;1
_convert_list;290;300;4;1
_convert_array;291;301;1;1
_convert_array;292;302;1;1
_convert_vector;293;303;1;1
_check_int;294;304;1;1
__init__;295;305;2;2
_init_ndarray;296;306;2;1
itertuples;297;307;1;1
from_records;298;308;1;1
from_records;299;309;1;1
set_value;300;310;3;2
__getitem__;301;311;1;0
query;302;312;1;1
_ensure_valid_index;303;313;1;0
_sanitize_column;304;314;2;1
_apply_empty_result;305;315;1;1
_apply_raw;306;316;1;1
_apply_standard;307;317;1;1
_apply_standard;308;318;1;1
_apply_standard;309;319;4;1
round;310;320;0;1
_reduce;311;321;11;1
_reduce;312;322;1;0
_reduce;313;323;1;2
_prep_ndarray;314;324;1;0
__init__;315;325;1;1
_set_axis;316;326;1;2
_ixs;317;327;1;1
_ixs;317;328;7;0
__getitem__;318;329;1;1
__getitem__;318;330;11;2
__getitem__;318;331;1;1
_get_with;319;332;5;0
_get_with;320;333;3;1
_get_values;321;334;1;1
__setitem__;322;335;1;1
__setitem__;322;336;16;2
__setitem__;322;337;5;1
__setitem__;323;338;1;1
__setitem__;324;339;1;1
_set_with_engine;325;340;2;1
_set_with;326;341;1;1
_set_with;327;342;1;0
set_value;328;343;2;1
to_string;329;344;2;1
sort_values;330;345;1;1
_make_dt_accessor;331;346;1;1
_dir_additions;332;347;1;1
_sanitize_array;333;348;4;2
_sanitize_array;334;349;3;1
_convert_for_datetime;335;350;1;1
_arith_method_SERIES;336;351;11;1
_arith_method_SERIES;337;352;6;1
_comp_method_SERIES;338;353;1;1
_bool_method_SERIES;339;354;13;1
_bool_method_SERIES;340;355;1;0
_arith_method_FRAME;341;356;24;1
_flex_comp_method_FRAME;342;357;11;1
_arith_method_PANEL;343;358;4;1
_comp_method_PANEL;344;359;11;1
_aggregate;345;360;1;1
_aggregate_multiple_funcs;346;361;1;2
_aggregate_multiple_funcs;346;362;1;1
_aggregate_multiple_funcs;347;363;1;2
_aggregate_multiple_funcs;347;364;1;1
item;348;365;1;1
_groupby_function;349;366;1;1
_groupby_function;349;367;3;1
_get_indices;350;368;2;1
