name_func;id_handler;exception_name;user/sys
__call__;372;TypeError;sys
__call__;372;;usr
__call__;375;TypeError;sys
__call__;375;;usr
_ensure_numeric;381;TypeError;sys
_init_matrix;382;ValueError;sys
__init__;388;TypeError;sys
__init__;388;NotImplementedError;sys
from_codes;389;ValueError;sys
_construct_axes_from_arguments;400;TypeError;sys
__invert__;405;;usr
to_xarray;406;ImportError;sys
sample;415;KeyError;sys
at_time;419;TypeError;sys
between_time;420;TypeError;sys
_get_setitem_indexer;428;;usr
_get_setitem_indexer;428;IndexingError;usr
_multi_take;431;_exception;usr
_handle_lowerdim_multi_index_axis0;433;IndexingError;usr
_handle_lowerdim_multi_index_axis0;433;e1;usr
_getitem_axis;434;;usr
_getitem_iterable;435;AssertionError;sys
_convert_to_indexer;439;;usr
_convert_to_indexer;439;;usr
_convert_to_indexer;440;;usr
_getbool_axis;442;_exception;usr
_has_valid_type;444;;usr
_get_list_axis;446;IndexError;sys
create_nd_panel_factory;452;Exception;sys
value_counts;456;TypeError;sys
_length_check;458;ValueError;sys
_map;459;e;usr
__getitem__;466;;usr
resolve;472;UndefinedVariableError;usr
__init__;482;ValueError;sys
__init__;483;ValueError;sys
_where_numexpr;488;TypeError;sys
visit_Subscript;493;ValueError;sys
evaluate;496;ValueError;sys
evaluate;497;ValueError;sys
eval;499;ValueError;sys
eval;500;ValueError;sys
visit_Call_35;505;;usr
visit_Call_legacy;507;;usr
_evaluate;509;UndefinedVariableError;usr
to_coo;510;ImportError;sys
astype;513;ValueError;sys
__getitem__;516;Exception;sys
_get_comb_axis;520;TypeError;sys
_make_concat_multiindex;521;ValueError;sys
_normalize;532;ValueError;sys
_normalize;533;ValueError;sys
__new__;536;ValueError;sys
construct_from_string;539;TypeError;sys
__new__;543;ValueError;sys
_validate_date_like_dtype;560;TypeError;sys
pandas_dtype;565;;usr
_make_accessor;586;AttributeError;sys
__new__;591;;usr
_convert_slice_indexer;599;;usr
_convert_slice_indexer;600;;usr
_convert_slice_indexer;600;;usr
putmask;603;err;usr
get_value;617;;usr
get_value;620;;usr
get_value;620;InvalidIndexError;usr
get_value;620;e1;usr
get_value;620;e1;usr
get_value;620;IndexError;sys
get_value;620;InvalidIndexError;usr
get_slice_bound;624;err;usr
_get_level_number;628;KeyError;sys
_get_level_number;628;IndexError;sys
_get_level_number;628;IndexError;sys
get_value;635;;usr
get_value;635;InvalidIndexError;usr
get_value;635;e1;usr
get_value;635;e1;usr
get_value;637;;usr
get_value;638;InvalidIndexError;usr
drop;641;;usr
_convert_can_do_setop;648;TypeError;sys
_generate;650;TypeError;sys
get_value;659;KeyError;sys
get_loc;663;KeyError;sys
get_loc;663;e;usr
get_loc;663;KeyError;sys
slice_indexer;664;;usr
insert;665;TypeError;sys
bdate_range;666;ValueError;sys
__new__;667;TypeError;sys
get_loc;675;KeyError;sys
get_loc;679;;usr
get_loc;681;KeyError;sys
get_loc;682;KeyError;sys
_maybe_cast_slice_bound;683;KeyError;sys
_td_index_cmp;693;TypeError;sys
get_value;699;KeyError;sys
get_loc;702;KeyError;sys
insert;704;TypeError;sys
get_value;708;ValueError;sys
interval_range;710;ValueError;sys
to_datetime;716;ValueError;sys
to_datetime;718;;usr
to_datetime;718;;usr
to_datetime;719;e;usr
to_datetime;720;ValueError;sys
to_datetime;722;OutOfBoundsDatetime;usr
to_datetime;722;ValueError;sys
_assemble_from_unit_mappings;723;ValueError;sys
_assemble_from_unit_mappings;724;ValueError;sys
to_time;729;ValueError;sys
to_numeric;731;;usr
_validate_timedelta_unit;732;ValueError;sys
_coerce_scalar_to_timedelta_type;733;;usr
_convert_listlike;734;;usr
_skip_if_no_mock;740;skip;usr
_default_locale_getter;741;type;usr
network;757;;usr
network;757;;usr
__getattr__;760;;usr
test;761;ImportError;sys
to_offset;769;ValueError;sys
to_offset;770;ValueError;sys
get_offset;771;ValueError;sys
_validate_time;779;ValueError;sys
__add__;781;OverflowError;sys
run_code;814;PlotError;usr
makefig;815;PlotError;usr
setup;817;NotImplementedError;sys
