func_name;id;size;handlers
_make_wrapper;352;1;1
_make_wrapper;353;1;1
_cython_transform;354;1;1
_cython_agg_general;355;1;1
_python_agg_general;356;2;1
mean;357;1;2
median;358;1;2
apply;359;2;2
_cython_operation;360;1;1
_cython_operation;361;1;1
agg_series;362;1;1
_get_grouper;363;0;1
_get_grouper;364;0;1
_get_grouper;365;1;1
aggregate;366;1;1
transform;367;1;1
filter;368;1;2
nunique;369;1;1
aggregate;370;3;1
_aggregate_generic;371;0;1
_aggregate_generic;372;2;1
_aggregate_item_by_item;373;3;2
_decide_output_index;374;0;1
_wrap_applied_output;375;1;1
_wrap_applied_output;376;0;1
_transform_general;377;1;2
_choose_path;378;1;1
_transform_item_by_item;379;1;1
filter;380;1;1
_aggregate_item_by_item;381;2;1
fast_apply;382;1;1
mask_missing;383;1;1
_interpolate_scipy_wrapper;384;0;1
_interpolate_scipy_wrapper;385;1;1
_interpolate_scipy_wrapper;386;1;1
_from_derivatives;387;2;1
_akima_interpolate;388;1;1
fillna;389;4;1
_astype;390;1;1
replace;391;4;1
setitem;392;3;3
setitem;393;2;1
interpolate;394;1;1
interpolate;395;1;1
eval;396;0;2
where;397;1;1
quantile;398;1;1
_try_cast;399;1;1
_try_cast;400;1;1
_try_cast;401;1;1
_try_cast;402;1;1
convert;403;2;1
set;404;0;1
set;405;1;1
_replace_single;406;1;1
_replace_single;407;1;1
_replace_single;408;1;1
_try_cast;409;1;1
_try_coerce_args;410;3;1
_try_coerce_result;411;1;1
__len__;412;1;1
set;413;1;1
create_block_manager_from_blocks;414;2;1
create_block_manager_from_arrays;415;3;1
_putmask_smart;416;2;1
_putmask_smart;417;1;1
_prep_values;418;1;1
validate;419;0;1
_apply_window;420;1;1
_apply;421;1;1
count;422;1;1
validate;423;1;1
_apply;424;1;1
_offset;425;1;1
__call__;426;0;1
__call__;427;1;1
__call__;428;0;1
__call__;429;1;1
_has_infs;430;1;1
_nanminmax;431;1;1
_get_counts;432;1;1
_ensure_numeric;433;1;1
_ensure_numeric;434;1;1
_ensure_numeric;435;1;1
_init_matrix;436;1;1
set_value;437;1;1
apply;438;1;1
_add_aggregate_operations;439;1;1
_get_deprecated_option;440;1;1
__init__;441;1;2
from_codes;442;1;1
map;443;1;1
is_dtype_equal;444;1;1
is_bool_indexer;445;2;1
_try_sort;446;1;1
_asarray_tuplesafe;447;2;1
_index_labels_to_array;448;1;1
in_interactive_session;449;1;1
in_qtconsole;450;2;1
in_ipnb;451;2;1
in_ipython_frontend;452;2;1
wide_to_long;453;1;1
_construct_axes_from_arguments;454;1;1
_get_axis_number;455;1;1
_get_axis_name;456;1;1
pop;457;0;1
squeeze;458;1;1
__invert__;459;2;1
get;460;1;1
_maybe_update_cacher;461;0;1
_check_setitem_copy;462;0;1
_check_setitem_copy;463;0;1
__delitem__;464;1;1
__delitem__;465;1;1
drop;466;0;1
reindex;467;1;1
sample;468;1;1
__setattr__;469;1;1
__setattr__;470;1;1
_check_inplace_setting;471;0;1
at_time;472;2;1
between_time;473;2;1
rank;474;1;1
_where;475;1;2
_where;476;1;1
_where;477;3;1
__getitem__;478;1;1
_get_label;479;1;1
_get_setitem_indexer;480;1;1
_get_setitem_indexer;481;1;1
_setitem_with_indexer;482;1;1
_getitem_tuple;483;1;1
_multi_take;484;3;1
_handle_lowerdim_multi_index_axis0;485;1;2
_getitem_axis;486;1;1
_getitem_iterable;487;2;1
