name_func;id_handler;exception_name;user/sys
handle;859;CommandError;usr
__init__;863;GDALException;usr
__init__;875;GDALException;usr
__getitem__;879;GDALException;usr
to_python;882;ValidationError;usr
clean;884;ValidationError;usr
_set_slice;892;TypeError;sys
_construct_ring;893;TypeError;sys
__call__;900;Http404;usr
item_link;901;ImproperlyConfigured;usr
shortcut;917;Http404;usr
shortcut;918;Http404;usr
include;929;ImproperlyConfigured;usr
__getitem__;932;KeyError;sys
to_python;941;ValidationError;usr
_check_values;942;ValidationError;usr
_check_values;943;ValidationError;usr
to_python;952;ValidationError;usr
to_python;953;ValidationError;usr
to_python;954;ValidationError;usr
to_python;956;ValidationError;usr
to_python;958;ValidationError;usr
_coerce;959;ValidationError;usr
_coerce;960;ValidationError;usr
to_python;965;ValidationError;usr
